EmployeeId,NationalIDNumber,ContactID,LoginID,ManagerID,Title,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,ModifiedDate
153,652535724,1197,adventure-works\denise0,14,Production Technician - WC50,1978-08-07T00:00:00,M,F,1999-03-09T00:00:00,0,9,24,1,2004-07-31 00:00:00.000000 UTC
1,14417807,1209,adventure-works\guy1,16,Production Technician - WC60,1972-05-15T00:00:00,M,M,1996-07-31T00:00:00,0,21,30,1,2004-07-31 00:00:00.000000 UTC
89,750246141,1206,adventure-works\margie0,16,Production Technician - WC60,1976-06-20T00:00:00,M,F,1999-02-05T00:00:00,0,18,29,1,2004-07-31 00:00:00.000000 UTC
80,330211482,1211,adventure-works\rebecca0,16,Production Technician - WC60,1967-08-11T00:00:00,M,F,1999-01-30T00:00:00,0,23,31,1,2004-07-31 00:00:00.000000 UTC
157,999440576,1210,adventure-works\brandon0,16,Production Technician - WC60,1967-02-11T00:00:00,M,M,1999-03-12T00:00:00,0,22,31,1,2004-07-31 00:00:00.000000 UTC
137,410742000,1202,adventure-works\britta0,16,Production Technician - WC60,1979-10-30T00:00:00,M,F,1999-03-02T00:00:00,0,14,27,1,2004-07-31 00:00:00.000000 UTC
162,788456780,1208,adventure-works\jose0,16,Production Technician - WC60,1974-09-01T00:00:00,M,M,1999-03-14T00:00:00,0,20,30,1,2004-07-31 00:00:00.000000 UTC
235,6298838,1212,adventure-works\kim1,16,Production Technician - WC60,1957-01-14T00:00:00,M,F,2000-02-17T00:00:00,0,24,32,1,2004-07-31 00:00:00.000000 UTC
175,754372876,1203,adventure-works\suchitra0,16,Production Technician - WC60,1977-07-11T00:00:00,M,F,1999-03-20T00:00:00,0,15,27,1,2004-07-31 00:00:00.000000 UTC
57,801758002,1205,adventure-works\annik0,16,Production Technician - WC60,1967-01-27T00:00:00,M,M,1999-01-18T00:00:00,0,17,28,1,2004-07-31 00:00:00.000000 UTC
284,982310417,1013,adventure-works\amy0,273,European Sales Manager,1947-10-22T00:00:00,M,F,2002-05-18T00:00:00,1,21,30,1,2004-07-31 00:00:00.000000 UTC
268,502097814,1011,adventure-works\stephen0,273,North American Sales Manager,1941-11-17T00:00:00,M,M,2001-02-04T00:00:00,1,14,27,1,2004-07-31 00:00:00.000000 UTC
288,481044938,1012,adventure-works\syed0,273,Pacific Sales Manager,1965-02-11T00:00:00,M,M,2003-04-15T00:00:00,1,20,30,1,2004-07-31 00:00:00.000000 UTC
53,36151748,1221,adventure-works\david2,18,Production Technician - WC60,1975-01-30T00:00:00,M,M,1999-01-16T00:00:00,0,33,36,1,2004-07-31 00:00:00.000000 UTC
255,8066363,1217,adventure-works\randy0,18,Production Technician - WC60,1960-05-29T00:00:00,M,M,2000-03-26T00:00:00,0,29,34,1,2004-07-31 00:00:00.000000 UTC
231,482810518,1045,adventure-works\fukiko0,274,Buyer,1960-12-25T00:00:00,M,M,2000-02-05T00:00:00,0,57,48,1,2004-07-31 00:00:00.000000 UTC
264,437296311,1038,adventure-works\annette0,274,Purchasing Assistant,1968-03-01T00:00:00,M,F,2001-01-06T00:00:00,0,50,45,1,2004-07-31 00:00:00.000000 UTC
198,792847334,1048,adventure-works\arvind0,274,Buyer,1964-09-21T00:00:00,M,M,1999-04-01T00:00:00,0,60,50,1,2004-07-31 00:00:00.000000 UTC
238,367453993,1046,adventure-works\frank2,274,Buyer,1942-06-13T00:00:00,M,M,2000-02-24T00:00:00,0,58,49,1,2004-07-31 00:00:00.000000 UTC
223,407505660,1044,adventure-works\linda2,274,Buyer,1960-12-31T00:00:00,M,F,2000-01-18T00:00:00,0,56,48,1,2004-07-31 00:00:00.000000 UTC
261,20269531,1043,adventure-works\ben0,274,Buyer,1963-07-05T00:00:00,M,M,2000-04-09T00:00:00,0,55,47,1,2004-07-31 00:00:00.000000 UTC
266,280633567,1039,adventure-works\reinout0,274,Purchasing Assistant,1968-02-18T00:00:00,M,M,2001-01-25T00:00:00,0,51,45,1,2004-07-31 00:00:00.000000 UTC
233,466142721,1040,adventure-works\gordon0,274,Buyer,1956-12-30T00:00:00,M,M,2000-02-12T00:00:00,0,52,46,1,2004-07-31 00:00:00.000000 UTC
18,494170342,1069,adventure-works\john0,21,Production Supervisor - WC60,1946-09-08T00:00:00,M,M,1998-04-18T00:00:00,0,81,60,1,2004-07-31 00:00:00.000000 UTC
51,370989364,1060,adventure-works\reuben0,21,Production Supervisor - WC40,1977-09-27T00:00:00,M,M,1999-01-16T00:00:00,0,72,56,1,2004-07-31 00:00:00.000000 UTC
108,45615666,1228,adventure-works\eric0,21,Production Supervisor - WC20,1975-02-20T00:00:00,M,M,1999-02-15T00:00:00,0,40,40,1,2004-07-31 00:00:00.000000 UTC
14,233069302,1067,adventure-works\taylor0,21,Production Supervisor - WC50,1946-05-03T00:00:00,M,M,1998-03-11T00:00:00,0,79,59,1,2004-07-31 00:00:00.000000 UTC
64,7201901,1055,adventure-works\cristian0,21,Production Supervisor - WC10,1974-05-13T00:00:00,M,M,1999-01-23T00:00:00,0,67,53,1,2004-07-31 00:00:00.000000 UTC
210,634335025,1059,adventure-works\brenda0,21,Production Supervisor - WC40,1973-03-31T00:00:00,M,F,1999-04-06T00:00:00,0,71,55,1,2004-07-31 00:00:00.000000 UTC
143,319472946,1229,adventure-works\yuhong0,21,Production Supervisor - WC20,1967-05-08T00:00:00,M,M,1999-03-05T00:00:00,0,41,40,1,2004-07-31 00:00:00.000000 UTC
123,712885347,1062,adventure-works\jeff0,21,Production Supervisor - WC45,1967-02-16T00:00:00,M,M,1999-02-22T00:00:00,0,74,57,1,2004-07-31 00:00:00.000000 UTC
227,717889520,1082,adventure-works\mary1,25,Production Technician - WC10,1976-10-20T00:00:00,M,F,2000-01-26T00:00:00,0,94,67,1,2004-07-31 00:00:00.000000 UTC
248,393421437,1079,adventure-works\christopher0,25,Production Technician - WC10,1976-11-01T00:00:00,M,M,2000-03-11T00:00:00,0,91,65,1,2004-07-31 00:00:00.000000 UTC
285,668991357,1025,adventure-works\jae0,284,Sales Representative,1958-04-18T00:00:00,M,F,2002-07-01T00:00:00,1,37,38,1,2004-07-31 00:00:00.000000 UTC
70,619308550,1239,adventure-works\mindy0,30,Benefits Specialist,1974-12-22T00:00:00,M,F,1999-01-26T00:00:00,0,51,45,1,2004-07-31 00:00:00.000000 UTC
179,599942664,1187,adventure-works\chad0,38,Production Technician - WC50,1980-09-04T00:00:00,M,M,1999-03-22T00:00:00,0,99,69,1,2004-07-31 00:00:00.000000 UTC
107,342607223,1185,adventure-works\mindaugas0,38,Production Technician - WC50,1968-06-07T00:00:00,M,M,1999-02-14T00:00:00,0,97,68,1,2004-07-31 00:00:00.000000 UTC
69,54759846,1184,adventure-works\linda0,38,Production Technician - WC50,1977-08-17T00:00:00,M,F,1999-01-26T00:00:00,0,96,68,1,2004-07-31 00:00:00.000000 UTC
36,113695504,1183,adventure-works\alice0,38,Production Technician - WC50,1968-02-27T00:00:00,M,F,1999-01-08T00:00:00,0,95,67,1,2004-07-31 00:00:00.000000 UTC
169,222400012,1176,adventure-works\don0,38,Production Technician - WC50,1961-07-14T00:00:00,M,M,1999-03-17T00:00:00,0,88,64,1,2004-07-31 00:00:00.000000 UTC
253,343861179,1273,adventure-works\sootha0,41,Quality Assurance Technician,1957-01-05T00:00:00,M,M,2000-03-26T00:00:00,0,85,62,1,2004-07-31 00:00:00.000000 UTC
145,131471224,1272,adventure-works\andreas0,41,Quality Assurance Technician,1979-04-29T00:00:00,M,M,1999-03-06T00:00:00,0,84,62,1,2004-07-31 00:00:00.000000 UTC
102,671089628,1260,adventure-works\dan0,42,Application Specialist,1971-07-28T00:00:00,M,M,1999-02-12T00:00:00,1,72,56,1,2004-07-31 00:00:00.000000 UTC
66,525932996,1259,adventure-works\janaina0,42,Application Specialist,1975-03-03T00:00:00,M,F,1999-01-24T00:00:00,1,71,55,1,2004-07-31 00:00:00.000000 UTC
128,929666391,1254,adventure-works\dan1,42,Database Administrator,1966-02-06T00:00:00,M,M,1999-02-23T00:00:00,1,66,53,1,2004-07-31 00:00:00.000000 UTC
206,368691270,1236,adventure-works\brian1,44,Scheduling Assistant,1974-09-12T00:00:00,M,M,1999-04-04T00:00:00,0,48,44,1,2004-07-31 00:00:00.000000 UTC
170,470689086,1235,adventure-works\alan0,44,Scheduling Assistant,1974-04-30T00:00:00,M,M,1999-03-17T00:00:00,0,47,43,1,2004-07-31 00:00:00.000000 UTC
96,621209647,1233,adventure-works\william0,44,Scheduling Assistant,1971-12-08T00:00:00,M,M,1999-02-08T00:00:00,0,45,42,1,2004-07-31 00:00:00.000000 UTC
132,981495526,1234,adventure-works\sairaj0,44,Scheduling Assistant,1978-01-22T00:00:00,M,M,1999-02-27T00:00:00,0,46,43,1,2004-07-31 00:00:00.000000 UTC
260,153479919,1279,adventure-works\jo1,49,Janitor,1944-05-25T00:00:00,M,F,2000-04-07T00:00:00,0,91,65,1,2004-07-31 00:00:00.000000 UTC
259,28414965,1276,adventure-works\stuart1,49,Janitor,1962-01-17T00:00:00,M,M,2000-04-05T00:00:00,0,88,64,1,2004-07-31 00:00:00.000000 UTC
251,879334904,1278,adventure-works\lori1,49,Janitor,1960-08-31T00:00:00,M,F,2000-03-19T00:00:00,0,90,65,1,2004-07-31 00:00:00.000000 UTC
93,769680433,1147,adventure-works\ryan0,51,Production Technician - WC40,1962-07-15T00:00:00,M,M,1999-02-06T00:00:00,0,59,49,1,2004-07-31 00:00:00.000000 UTC
249,988315686,1149,adventure-works\patrick1,51,Production Technician - WC40,1964-01-24T00:00:00,M,M,2000-03-15T00:00:00,0,61,50,1,2004-07-31 00:00:00.000000 UTC
246,947029962,1154,adventure-works\frank3,51,Production Technician - WC40,1942-04-03T00:00:00,M,M,2000-03-08T00:00:00,0,66,53,1,2004-07-31 00:00:00.000000 UTC
240,697712387,1148,adventure-works\eric1,51,Production Technician - WC40,1957-01-08T00:00:00,M,M,2000-02-25T00:00:00,0,60,50,1,2004-07-31 00:00:00.000000 UTC
262,826454897,1086,adventure-works\tom0,64,Production Technician - WC10,1976-11-01T00:00:00,M,M,2000-04-10T00:00:00,0,98,69,1,2004-07-31 00:00:00.000000 UTC
60,674171828,1189,adventure-works\jim0,74,Production Technician - WC50,1976-10-09T00:00:00,M,M,1999-01-20T00:00:00,0,1,20,1,2004-07-31 00:00:00.000000 UTC
43,718299860,1194,adventure-works\russell0,74,Production Technician - WC50,1962-12-27T00:00:00,M,M,1999-01-13T00:00:00,0,6,23,1,2004-07-31 00:00:00.000000 UTC
131,153288994,1191,adventure-works\houman0,74,Production Technician - WC50,1961-09-30T00:00:00,M,M,1999-02-26T00:00:00,0,3,21,1,2004-07-31 00:00:00.000000 UTC
202,912141525,1193,adventure-works\elizabeth0,74,Production Technician - WC50,1980-02-26T00:00:00,M,F,1999-04-03T00:00:00,0,5,22,1,2004-07-31 00:00:00.000000 UTC
165,152085091,1192,adventure-works\sameer0,74,Production Technician - WC50,1968-07-27T00:00:00,M,M,1999-03-15T00:00:00,0,4,22,1,2004-07-31 00:00:00.000000 UTC
104,204035155,1195,adventure-works\lolan0,74,Production Technician - WC50,1963-02-25T00:00:00,M,M,1999-02-13T00:00:00,0,7,23,1,2004-07-31 00:00:00.000000 UTC
121,584205124,1282,adventure-works\matthias0,85,Shipping and Receiving Clerk,1963-12-13T00:00:00,M,M,1999-02-21T00:00:00,0,94,67,1,2004-07-31 00:00:00.000000 UTC
195,652779496,1284,adventure-works\jimmy0,85,Stocker,1975-06-05T00:00:00,M,M,1999-03-30T00:00:00,0,96,68,1,2004-07-31 00:00:00.000000 UTC
35,337752649,1283,adventure-works\vamsi0,85,Shipping and Receiving Clerk,1967-04-19T00:00:00,M,M,1999-01-08T00:00:00,0,95,67,1,2004-07-31 00:00:00.000000 UTC
186,1300049,1155,adventure-works\nicole0,87,Production Technician - WC40,1976-05-10T00:00:00,M,F,1999-03-26T00:00:00,0,67,53,1,2004-07-31 00:00:00.000000 UTC
161,260770918,1267,adventure-works\karen0,90,Document Control Assistant,1966-01-25T00:00:00,M,F,1999-03-13T00:00:00,0,79,59,1,2004-07-31 00:00:00.000000 UTC
212,260805477,1263,adventure-works\chris1,90,Control Specialist,1977-06-26T00:00:00,M,M,1999-04-07T00:00:00,0,75,57,1,2004-07-31 00:00:00.000000 UTC
151,25011600,1095,adventure-works\samantha0,108,Production Technician - WC20,1977-12-23T00:00:00,M,F,1999-03-08T00:00:00,0,7,23,1,2004-07-31 00:00:00.000000 UTC
26,964089218,1097,adventure-works\ivo0,108,Production Technician - WC20,1972-02-04T00:00:00,M,M,1999-01-05T00:00:00,0,9,24,1,2004-07-31 00:00:00.000000 UTC
115,886023130,1094,adventure-works\paul1,108,Production Technician - WC20,1980-12-05T00:00:00,M,M,1999-02-18T00:00:00,0,6,23,1,2004-07-31 00:00:00.000000 UTC
221,701156975,1092,adventure-works\sylvester0,108,Production Technician - WC20,1960-12-13T00:00:00,M,M,2000-01-12T00:00:00,0,4,22,1,2004-07-31 00:00:00.000000 UTC
239,872923042,1089,adventure-works\min0,108,Production Technician - WC20,1964-10-11T00:00:00,M,M,2000-02-25T00:00:00,0,1,20,1,2004-07-31 00:00:00.000000 UTC
237,339233463,1093,adventure-works\prasanna0,108,Production Technician - WC20,1943-06-01T00:00:00,M,M,2000-02-23T00:00:00,0,5,22,1,2004-07-31 00:00:00.000000 UTC
140,184188301,1288,adventure-works\laura1,109,Chief Financial Officer,1966-02-06T00:00:00,M,F,1999-03-04T00:00:00,1,0,20,1,2004-07-31 00:00:00.000000 UTC
155,377784364,1165,adventure-works\alex0,123,Production Technician - WC45,1980-05-14T00:00:00,M,M,1999-03-12T00:00:00,0,77,58,1,2004-07-31 00:00:00.000000 UTC
126,539490372,1164,adventure-works\chris0,123,Production Technician - WC45,1979-01-17T00:00:00,M,M,1999-02-23T00:00:00,0,76,58,1,2004-07-31 00:00:00.000000 UTC
73,604664374,1125,adventure-works\sandra0,135,Production Technician - WC30,1965-12-06T00:00:00,M,F,1999-01-27T00:00:00,0,37,38,1,2004-07-31 00:00:00.000000 UTC
196,878395493,1123,adventure-works\michael5,135,Production Technician - WC30,1972-10-19T00:00:00,M,M,1999-03-30T00:00:00,0,35,37,1,2004-07-31 00:00:00.000000 UTC
142,764853868,1127,adventure-works\andy0,135,Production Technician - WC30,1973-11-20T00:00:00,M,M,1999-03-04T00:00:00,0,39,39,1,2004-07-31 00:00:00.000000 UTC
180,993310268,1128,adventure-works\rostislav0,135,Production Technician - WC30,1967-10-15T00:00:00,M,M,1999-03-23T00:00:00,0,40,40,1,2004-07-31 00:00:00.000000 UTC
166,663843431,1251,adventure-works\dragan0,139,Accounts Payable Specialist,1967-03-18T00:00:00,M,M,1999-03-15T00:00:00,0,63,51,1,2004-07-31 00:00:00.000000 UTC
178,363910111,1246,adventure-works\barbara1,139,Accountant,1966-02-04T00:00:00,M,F,1999-03-22T00:00:00,1,58,49,1,2004-07-31 00:00:00.000000 UTC
201,519756660,1252,adventure-works\janet0,139,Accounts Payable Specialist,1969-04-09T00:00:00,M,F,1999-04-02T00:00:00,0,64,52,1,2004-07-31 00:00:00.000000 UTC
59,363923697,1248,adventure-works\deborah0,139,Accounts Receivable Specialist,1966-04-07T00:00:00,M,F,1999-01-19T00:00:00,0,60,50,1,2004-07-31 00:00:00.000000 UTC
139,30845,1245,adventure-works\david6,140,Accounts Manager,1973-08-08T00:00:00,M,M,1999-03-03T00:00:00,1,57,48,1,2004-07-31 00:00:00.000000 UTC
30,535145551,1242,adventure-works\paula0,140,Human Resources Manager,1966-03-14T00:00:00,M,F,1999-01-07T00:00:00,1,54,47,1,2004-07-31 00:00:00.000000 UTC
65,97728960,1098,adventure-works\raymond0,143,Production Technician - WC20,1957-04-02T00:00:00,M,M,1999-01-24T00:00:00,0,10,25,1,2004-07-31 00:00:00.000000 UTC
100,322160340,1099,adventure-works\lane0,143,Production Technician - WC20,1964-10-24T00:00:00,M,M,1999-02-12T00:00:00,0,11,25,1,2004-07-31 00:00:00.000000 UTC
21,277173473,1231,adventure-works\peter0,148,Production Control Manager,1972-12-04T00:00:00,M,M,1999-01-02T00:00:00,1,43,41,1,2005-01-26 09:17:08.000000 UTC
218,141165819,1274,adventure-works\gary1,148,Facilities Manager,1961-03-21T00:00:00,M,M,2000-01-03T00:00:00,1,86,63,1,2004-07-31 00:00:00.000000 UTC
114,658797903,1051,adventure-works\gigi0,158,Research and Development Engineer,1969-02-21T00:00:00,M,F,1999-02-17T00:00:00,1,63,51,1,2004-07-31 00:00:00.000000 UTC
217,879342154,1289,adventure-works\michael6,158,Research and Development Manager,1975-01-01T00:00:00,M,M,1999-06-04T00:00:00,1,16,64,1,2004-07-31 00:00:00.000000 UTC
40,713403643,1167,adventure-works\yvonne0,159,Production Technician - WC45,1979-05-17T00:00:00,M,F,1999-01-10T00:00:00,0,79,59,1,2004-07-31 00:00:00.000000 UTC
75,435234965,1168,adventure-works\douglas0,159,Production Technician - WC45,1975-12-26T00:00:00,M,M,1999-01-28T00:00:00,0,80,60,1,2004-07-31 00:00:00.000000 UTC
167,227319668,1133,adventure-works\carol0,173,Production Technician - WC30,1978-11-18T00:00:00,M,F,1999-03-16T00:00:00,0,45,42,1,2004-07-31 00:00:00.000000 UTC
61,138280935,1130,adventure-works\carole0,173,Production Technician - WC30,1973-11-19T00:00:00,M,F,1999-01-20T00:00:00,0,42,41,1,2004-07-31 00:00:00.000000 UTC
20,443968955,1129,adventure-works\steven0,173,Production Technician - WC30,1967-06-15T00:00:00,M,M,1999-01-02T00:00:00,0,41,40,1,2004-07-31 00:00:00.000000 UTC
205,301435199,1134,adventure-works\merav0,173,Production Technician - WC30,1973-06-13T00:00:00,M,F,1999-04-04T00:00:00,0,46,43,1,2004-07-31 00:00:00.000000 UTC
160,305522471,1106,adventure-works\john2,182,Production Technician - WC20,1976-05-06T00:00:00,M,M,1999-03-13T00:00:00,0,18,29,1,2004-07-31 00:00:00.000000 UTC
125,969985265,1105,adventure-works\barbara0,182,Production Technician - WC20,1969-08-02T00:00:00,M,F,1999-02-23T00:00:00,0,17,28,1,2004-07-31 00:00:00.000000 UTC
171,860123571,1117,adventure-works\david7,184,Production Technician - WC30,1975-10-25T00:00:00,M,M,1999-03-18T00:00:00,0,29,34,1,2004-07-31 00:00:00.000000 UTC
62,476115505,1114,adventure-works\george0,184,Production Technician - WC30,1967-05-18T00:00:00,M,M,1999-01-22T00:00:00,0,26,33,1,2004-07-31 00:00:00.000000 UTC
183,551346974,1112,adventure-works\russell1,184,Production Technician - WC30,1972-03-14T00:00:00,M,M,1999-03-25T00:00:00,0,24,32,1,2004-07-31 00:00:00.000000 UTC
146,259388196,1111,adventure-works\reed0,184,Production Technician - WC30,1979-02-09T00:00:00,M,M,1999-03-06T00:00:00,0,23,31,1,2004-07-31 00:00:00.000000 UTC
113,364818297,1110,adventure-works\marc0,184,Production Technician - WC30,1976-11-24T00:00:00,M,M,1999-02-17T00:00:00,0,22,31,1,2004-07-31 00:00:00.000000 UTC
230,109272464,1077,adventure-works\bonnie0,185,Production Technician - WC10,1976-10-11T00:00:00,M,F,2000-02-02T00:00:00,0,89,64,1,2004-07-31 00:00:00.000000 UTC
8,690627818,1071,adventure-works\ruth0,185,Production Technician - WC10,1946-07-06T00:00:00,M,F,1998-02-06T00:00:00,0,83,61,1,2004-07-31 00:00:00.000000 UTC
13,844973625,1072,adventure-works\sidney0,185,Production Technician - WC10,1946-10-01T00:00:00,M,M,1998-03-05T00:00:00,0,84,62,1,2004-07-31 00:00:00.000000 UTC
19,9659517,1075,adventure-works\diane0,185,Production Technician - WC10,1946-04-30T00:00:00,M,F,1998-04-29T00:00:00,0,87,63,1,2004-07-31 00:00:00.000000 UTC
17,565090917,1074,adventure-works\doris0,185,Production Technician - WC10,1946-05-06T00:00:00,M,F,1998-04-11T00:00:00,0,86,63,1,2004-07-31 00:00:00.000000 UTC
136,167554340,1175,adventure-works\kathie0,197,Production Technician - WC45,1980-12-02T00:00:00,M,F,1999-02-28T00:00:00,0,87,63,1,2004-07-31 00:00:00.000000 UTC
98,199546871,1174,adventure-works\scott0,197,Production Technician - WC45,1977-03-13T00:00:00,M,M,1999-02-09T00:00:00,0,86,63,1,2004-07-31 00:00:00.000000 UTC
90,345106466,1265,adventure-works\zainal0,200,Document Control Manager,1966-03-02T00:00:00,M,M,1999-02-05T00:00:00,0,77,58,1,2004-07-31 00:00:00.000000 UTC
41,885055826,1269,adventure-works\peng0,200,Quality Assurance Supervisor,1966-04-19T00:00:00,M,M,1999-01-10T00:00:00,1,81,60,1,2004-07-31 00:00:00.000000 UTC
190,693168613,1139,adventure-works\ken1,210,Production Technician - WC40,1971-06-29T00:00:00,M,M,1999-03-28T00:00:00,0,51,45,1,2004-07-31 00:00:00.000000 UTC
215,440379437,1145,adventure-works\gabe0,210,Production Technician - WC40,1978-06-11T00:00:00,M,M,1999-04-09T00:00:00,0,57,48,1,2004-07-31 00:00:00.000000 UTC
116,749211824,1144,adventure-works\frank0,210,Production Technician - WC40,1977-10-07T00:00:00,M,M,1999-02-18T00:00:00,0,56,48,1,2004-07-31 00:00:00.000000 UTC
105,992874797,1142,adventure-works\paula1,210,Production Technician - WC40,1977-03-13T00:00:00,M,F,1999-02-13T00:00:00,0,54,47,1,2004-07-31 00:00:00.000000 UTC
81,632092621,1136,adventure-works\rajesh0,210,Production Technician - WC40,1967-11-05T00:00:00,M,M,1999-02-01T00:00:00,0,48,44,1,2004-07-31 00:00:00.000000 UTC
68,370487086,1141,adventure-works\shammi0,210,Production Technician - WC40,1970-11-05T00:00:00,M,M,1999-01-25T00:00:00,0,53,46,1,2004-07-31 00:00:00.000000 UTC
91,19312190,1137,adventure-works\lorraine0,210,Production Technician - WC40,1978-12-28T00:00:00,M,F,1999-02-05T00:00:00,0,49,44,1,2004-07-31 00:00:00.000000 UTC
49,553069203,1280,adventure-works\christian0,218,Maintenance Supervisor,1966-02-18T00:00:00,M,M,1999-01-15T00:00:00,1,92,66,1,2004-07-31 00:00:00.000000 UTC
225,552560652,1275,adventure-works\magnus0,218,Facilities Administrative Assistant,1961-09-27T00:00:00,M,M,2000-01-22T00:00:00,0,87,63,1,2004-07-31 00:00:00.000000 UTC
109,295847284,1287,adventure-works\ken0,,Chief Executive Officer,1959-03-02T00:00:00,S,M,1999-02-15T00:00:00,1,99,69,1,2004-07-31 00:00:00.000000 UTC
4,112457891,1290,adventure-works\rob0,3,Senior Tool Designer,1965-01-23T00:00:00,S,M,1998-01-05T00:00:00,0,48,80,1,2004-07-31 00:00:00.000000 UTC
263,974026903,1007,adventure-works\ovidiu0,3,Senior Tool Designer,1968-02-18T00:00:00,S,M,2001-01-05T00:00:00,0,7,23,1,2004-07-31 00:00:00.000000 UTC
267,42487730,1003,adventure-works\michael8,3,Senior Design Engineer,1969-07-17T00:00:00,S,M,2001-01-30T00:00:00,1,3,21,1,2004-07-31 00:00:00.000000 UTC
46,95958330,1033,adventure-works\sariya0,6,Marketing Specialist,1977-06-21T00:00:00,S,M,1999-01-13T00:00:00,0,45,42,1,2004-07-31 00:00:00.000000 UTC
2,253022876,1030,adventure-works\kevin0,6,Marketing Assistant,1977-06-03T00:00:00,S,M,1997-02-26T00:00:00,0,42,41,1,2004-07-31 00:00:00.000000 UTC
272,52541318,1031,adventure-works\mary2,6,Marketing Assistant,1968-03-01T00:00:00,S,F,2001-03-17T00:00:00,0,43,41,1,2004-07-31 00:00:00.000000 UTC
271,222969461,1036,adventure-works\john5,6,Marketing Specialist,1968-04-06T00:00:00,S,M,2001-03-10T00:00:00,0,48,44,1,2004-07-31 00:00:00.000000 UTC
37,276751903,1226,adventure-works\simon0,7,Production Technician - WC60,1980-06-17T00:00:00,S,M,1999-01-09T00:00:00,0,38,39,1,2004-07-31 00:00:00.000000 UTC
